No      Date        Time         Lat      Lon        Dep     Mag   Coef      Times_MAD           Reference
   4   2023/05/15   06:08:21.390   19.3660   -99.2080     0.48    1.26  0.2434     9.2500      20230512101933.83
   5   2023/05/15   08:45:49.370   19.3720   -99.1890     1.55    0.91  0.2260     9.0700      20230515004101.45
   6   2023/05/15   10:51:41.240   19.3710   -99.1960     0.90    0.79  0.2482     9.0200      20230511042229.97
   7   2023/05/15   11:06:41.980   19.3670   -99.1950     1.22    1.05  0.2338     9.0000      20230512234650.64
   8   2023/05/15   11:19:14.560   19.3650   -99.1950     0.82    0.49  0.2312     9.4100      20230511042017.00
   9   2023/05/15   11:32:36.230   19.3630   -99.1870     1.42    1.08  0.2348     9.0400      20230512234650.64
   1   2023/05/16   08:34:58.990   19.3590   -99.1880     1.82    0.38  0.2980    10.0100      20230511165546.88
   2   2023/05/16   09:27:58.500   19.3650   -99.1910     1.32    0.89  0.2466     9.4500      20230512234650.64
   3   2023/05/16   09:44:13.810   19.3640   -99.2080     0.10    1.63  0.2369     9.4400      20230511042948.21
   4   2023/05/16   10:50:30.890   19.3620   -99.1810     1.09    1.60  0.9996    36.5200      20230516105030.89
   5   2023/05/16   18:19:00.530   19.3760   -99.1930     1.55    1.42  0.2229     9.0100      20230515004101.45
   1   2023/05/17   04:09:03.560   19.3630   -99.1810     1.53    1.50  0.9805    38.6300      20230517040903.56
   2   2023/05/17   11:49:00.940   19.3650   -99.1900     1.38    1.07  0.2215     9.1800      20230511152523.27
   3   2023/05/17   19:24:02.100   19.3590   -99.1970     1.52    1.19  0.2400     9.0200      20230511132510.26
   1   2023/05/18   03:27:47.540   19.3620   -99.1990     0.68    1.56  0.2231     9.0500      20230511042951.59
   2   2023/05/18   07:59:12.930   19.3620   -99.2080     0.05    1.65  0.2337     9.3700      20230511042948.21
   3   2023/05/18   08:00:30.340   19.3620   -99.2020     0.10    1.64  0.2449     9.8200      20230511042948.21
   4   2023/05/18   10:54:39.630   19.3640   -99.1890     1.68    0.78  0.2060     9.0300      20230511150531.12
