Date,time,latitutde,longitude,depth,magnitude,cc,MAD,waveforms
2023/05/11,21:26:05.110,19.3580,-99.1960,1.50,1.37,0.4153,12.7800,DetectedFinal_20230511_39.jpg
2023/05/11,21:52:17.670,19.3560,-99.2020,1.00,1.32,0.4748,14.6200,DetectedFinal_20230511_40.jpg
2023/05/12,01:48:57.940,19.3620,-99.2030,1.25,0.88,0.3080,9.0100,DetectedFinal_20230512_01.jpg
2023/05/12,04:01:28.420,19.3600,-99.2000,1.00,1.40,0.9955,30.7400,DetectedFinal_20230512_02.jpg
2023/05/12,04:05:17.680,19.3640,-99.2020,0.75,0.43,0.3358,11.6600,DetectedFinal_20230512_03.jpg
2023/05/12,07:11:30.630,19.3590,-99.2000,1.05,0.53,0.2727,9.4900,DetectedFinal_20230512_04.jpg
2023/05/12,09:46:21.570,19.3760,-99.2070,0.50,0.82,0.2469,9.0200,DetectedFinal_20230512_05.jpg
2023/05/12,10:04:52.960,19.3600,-99.1980,1.00,0.18,0.2768,9.0400,DetectedFinal_20230512_06.jpg
2023/05/12,10:19:33.510,19.3650,-99.2040,1.00,1.30,0.9871,35.4600,DetectedFinal_20230512_07.jpg
2023/05/12,10:31:00.970,19.3600,-99.2040,0.50,0.42,0.3194,10.4300,DetectedFinal_20230512_08.jpg
2023/05/12,23:46:50.750,19.3650,-99.1920,1.00,2.20,0.9999,36.8800,DetectedFinal_20230512_09.jpg
2023/05/13,08:51:03.700,19.3670,-99.1880,1.50,0.78,0.2431,9.0400,DetectedFinal_20230513_01.jpg
2023/05/13,13:10:52.720,19.3590,-99.1880,1.00,1.02,0.2366,9.0800,DetectedFinal_20230513_02.jpg
2023/05/13,13:26:08.760,19.3690,-99.1840,1.50,0.75,0.2222,9.1000,DetectedFinal_20230513_03.jpg
2023/05/14,00:00:16.810,19.3550,-99.1900,1.00,0.94,0.2372,9.1400,DetectedFinal_20230514_01.jpg
2023/05/14,02:33:02.630,19.3560,-99.2010,0.50,1.06,0.3050,9.0600,DetectedFinal_20230514_02.jpg
2023/05/14,05:28:53.170,19.4370,-99.1750,0.50,1.82,0.3286,9.1600,DetectedFinal_20230514_03.jpg
2023/05/14,06:43:13.790,19.3580,-99.1980,0.50,0.40,0.2741,9.0500,DetectedFinal_20230514_04.jpg
2023/05/14,09:32:18.380,19.3600,-99.1930,1.25,0.17,0.2787,9.1500,DetectedFinal_20230514_05.jpg
2023/05/14,11:51:42.370,19.3600,-99.1970,1.50,1.51,0.2722,9.7600,DetectedFinal_20230514_06.jpg
2023/05/14,23:05:12.260,19.3620,-99.2030,1.00,0.93,0.2281,9.0400,DetectedFinal_20230514_07.jpg
2023/05/14,23:43:48.530,19.3670,-99.1850,0.50,0.88,0.2409,9.0600,DetectedFinal_20230514_08.jpg
2023/05/15,00:41:01.400,19.3760,-99.2030,1.00,1.80,0.9988,36.1900,DetectedFinal_20230515_01.jpg
2023/05/15,04:09:51.800,19.3620,-99.2090,0.75,0.96,0.2644,9.1000,DetectedFinal_20230515_02.jpg
2023/05/15,08:45:52.670,19.3580,-99.1940,1.00,1.80,0.9982,37.1700,DetectedFinal_20230515_03.jpg
2023/05/15,11:19:14.180,19.3670,-99.2060,1.05,0.48,0.2674,9.3100,DetectedFinal_20230515_04.jpg
2023/05/16,08:34:58.980,19.3560,-99.1980,1.00,0.05,0.2951,9.5300,DetectedFinal_20230516_01.jpg
2023/05/16,08:56:29.380,19.3600,-99.1990,1.25,1.40,0.2685,9.4200,DetectedFinal_20230516_02.jpg
2023/05/16,09:27:58.650,19.3650,-99.1900,0.75,0.69,0.2482,9.1300,DetectedFinal_20230516_03.jpg
2023/05/16,10:50:30.720,19.3600,-99.1930,1.00,1.60,0.9997,36.3600,DetectedFinal_20230516_04.jpg
2023/05/17,04:09:03.660,19.3630,-99.1870,1.00,1.60,0.9983,37.5500,DetectedFinal_20230517_01.jpg
2023/05/17,08:51:29.570,19.3630,-99.2080,1.00,1.07,0.2537,9.0400,DetectedFinal_20230517_02.jpg
2023/05/17,19:24:01.950,19.3630,-99.2080,1.25,0.97,0.2574,9.0100,DetectedFinal_20230517_03.jpg
2023/05/18,06:37:31.520,19.3600,-99.1970,1.25,0.19,0.2825,9.1100,DetectedFinal_20230518_01.jpg
2023/05/18,08:21:43.300,19.3560,-99.2010,0.75,0.30,0.3108,9.1000,DetectedFinal_20230518_02.jpg
2023/05/18,16:38:30.690,19.3620,-99.2040,1.50,0.85,0.2512,9.3600,DetectedFinal_20230518_03.jpg
2023/05/18,20:40:20.650,19.3630,-99.1860,0.50,0.88,0.2445,9.3300,DetectedFinal_20230518_04.jpg
2023/05/19,06:18:10.540,19.3590,-99.1910,0.50,0.56,0.2463,9.2400,DetectedFinal_20230519_01.jpg
2023/05/19,08:18:49.050,19.3710,-99.1860,1.25,0.51,0.2226,9.0800,DetectedFinal_20230519_02.jpg
2023/05/19,08:39:41.960,19.3630,-99.2070,0.75,0.57,0.2290,9.0100,DetectedFinal_20230519_03.jpg
2023/05/19,10:57:25.000,19.3610,-99.1880,1.25,1.07,0.2510,9.3000,DetectedFinal_20230519_04.jpg
2023/05/19,13:12:47.580,19.3640,-99.1970,1.50,0.76,0.2332,9.1900,DetectedFinal_20230519_05.jpg
2023/05/20,15:19:18.440,19.3620,-99.1920,1.50,1.45,0.2466,9.2400,DetectedFinal_20230520_01.jpg
2023/05/21,03:14:59.050,19.3590,-99.1850,1.25,0.88,0.2420,9.0900,DetectedFinal_20230521_01.jpg
2023/05/21,10:06:34.380,19.3660,-99.2030,1.50,1.49,0.2514,9.0100,DetectedFinal_20230521_02.jpg
2023/05/21,11:01:53.370,19.3690,-99.1920,1.50,0.86,0.2499,9.4800,DetectedFinal_20230521_03.jpg
2023/05/21,19:30:10.570,19.3580,-99.1990,1.50,0.96,0.3043,9.0300,DetectedFinal_20230521_04.jpg
2023/05/22,05:05:32.530,19.3600,-99.2000,1.00,1.30,0.9998,36.8200,DetectedFinal_20230522_01.jpg
2023/05/22,10:03:05.950,19.3560,-99.1960,1.50,0.10,0.2839,9.2600,DetectedFinal_20230522_02.jpg
2023/05/22,15:33:02.070,19.3600,-99.1950,1.50,1.46,0.2470,9.0300,DetectedFinal_20230522_03.jpg
2023/05/23,06:50:36.370,19.3590,-99.1830,1.50,0.58,0.2401,9.0600,DetectedFinal_20230523_01.jpg
2023/05/23,07:48:43.120,19.3640,-99.1950,0.75,1.54,0.2720,9.5700,DetectedFinal_20230523_02.jpg
2023/05/23,07:50:56.280,19.3670,-99.1880,1.00,0.86,0.2445,9.0600,DetectedFinal_20230523_03.jpg
2023/05/23,08:44:04.500,19.3680,-99.2030,1.50,0.69,0.2277,9.0400,DetectedFinal_20230523_04.jpg
2023/05/23,10:28:34.680,19.3680,-99.1950,0.75,1.54,0.2694,9.4700,DetectedFinal_20230523_05.jpg
2023/05/23,15:22:06.440,19.3620,-99.1970,0.75,1.17,0.2276,9.0300,DetectedFinal_20230523_06.jpg
2023/05/23,19:33:18.970,19.3580,-99.2000,0.90,0.64,0.2531,9.0300,DetectedFinal_20230523_07.jpg
