#No.      Date        Time         Lat.      Lon.        Dep.     Mag.   Coef.      Times_MAD           Reference
   8   2023/12/15   09:58:22.260   19.3640   -99.1970     1.13    1.27  0.3603     9.3200      20231212202309.88
   9   2023/12/15   10:22:30.840   19.3660   -99.1970     0.42    1.60  1.0000    28.8300      20231215102230.84
  10   2023/12/15   10:28:57.990   19.3620   -99.1980     1.04    1.27  0.3427    10.1900      20231216091035.51
  11   2023/12/15   14:00:02.910   19.3600   -99.2000     0.98    0.95  0.3016     9.0200      20231203002902.38
  12   2023/12/15   15:03:28.430   19.3640   -99.1990     0.64    1.02  0.3164     9.1100      20231212171437.68
  13   2023/12/15   17:27:14.210   19.3690   -99.1930     0.95    1.43  0.3141     9.2400      20231212172856.50
  14   2023/12/15   19:36:47.580   19.3630   -99.2030     0.84    1.21  0.3010     9.2200      20231228094951.29
   1   2023/12/16   02:26:42.830   19.3650   -99.1990     1.06    1.03  0.3095     9.1700      20231228093354.80
   2   2023/12/16   08:24:16.450   19.3670   -99.2030     0.89    1.21  0.3142     9.3800      20231228094951.29
   3   2023/12/16   09:10:35.510   19.3660   -99.2000     1.14    1.60  1.0000    28.6400      20231216091035.51
   1   2023/12/17   04:25:50.080   19.3650   -99.1980     1.18    1.05  0.3470     9.1700      20231212171744.04
   2   2023/12/17   07:23:31.420   19.3680   -99.2000     1.32    0.43  0.3513     9.1000      20231212170753.06
   3   2023/12/17   15:48:10.100   19.3610   -99.2020     1.18    1.15  0.3422     9.0400      20231212171744.04
   1   2023/12/18   19:27:55.980   19.3620   -99.2030     1.70    1.10  1.0000    27.9800      20231218192755.98
   2   2023/12/18   22:09:41.500   19.3600   -99.2050     1.08    1.64  0.3631     9.0200      20231212202309.88
   1   2023/12/19   01:30:28.470   19.3610   -99.2020     1.23    1.22  0.3538     9.7100      20231212171744.04
   2   2023/12/19   10:37:06.250   19.3680   -99.2020     0.94    0.53  0.3749     9.4100      20231212170627.74
   3   2023/12/19   10:39:51.300   19.3660   -99.1970     0.76    0.65  0.3045     9.4300      20231226133545.28
   4   2023/12/19   10:53:05.150   19.3680   -99.1980     1.32    0.50  0.3819     9.6300      20231212170753.06
   5   2023/12/19   12:49:24.940   19.3600   -99.2050     0.93    1.79  0.3594     9.0400      20231212202309.88
   1   2023/12/20   09:54:30.660   19.3660   -99.2020     0.99    0.07  0.3712     9.3200      20231212170627.74
   2   2023/12/20   15:51:01.510   19.3600   -99.1960     0.78    1.10  0.3146     9.1600      20231203002902.38
   1   2023/12/21   00:14:49.810   19.3620   -99.2010     1.13    2.02  0.5770    14.3700      20231212202309.88
   2   2023/12/21   01:43:16.720   19.3680   -99.1970     0.86    0.63  0.3018     9.1800      20231226133545.28
   3   2023/12/21   12:42:15.800   19.3680   -99.1970     0.52    1.33  0.3310     9.2000      20231215102230.84
   1   2023/12/22   06:42:47.210   19.3670   -99.1980     1.13    0.22  0.3008     9.1200      20231212171229.12
   2   2023/12/22   06:54:45.430   19.3690   -99.1970     1.02    0.71  0.3138     9.1300      20231215052526.00
   3   2023/12/22   08:20:05.720   19.3640   -99.1990     0.93    1.43  0.3395     9.2200      20231212202309.88
   4   2023/12/22   17:39:22.820   19.3680   -99.1930     0.64    1.05  0.3153     9.3800      20231212171437.68
   5   2023/12/22   17:42:16.360   19.3720   -99.1970     0.81    0.72  0.2825     9.1000      20231226133545.28
   6   2023/12/22   17:59:36.920   19.3720   -99.2030     0.76    0.58  0.2892     9.3200      20231226133545.28
   7   2023/12/22   19:35:58.750   19.3670   -99.1970     1.02    0.80  0.3112     9.0500      20231215052526.00
   1   2023/12/23   01:57:27.600   19.3640   -99.2030     0.91    0.65  0.2949     9.0300      20231226133545.28
   2   2023/12/23   05:20:10.680   19.3660   -99.2040     1.17    0.63  0.3656     9.3000      20231212170753.06
   3   2023/12/23   06:01:12.800   19.3620   -99.1990     0.98    0.49  0.3517     9.5000      20231214201520.68
   4   2023/12/23   08:34:58.010   19.3710   -99.1970     0.94    1.02  0.3148     9.3400      20231228094951.29
   5   2023/12/23   11:36:26.550   19.3670   -99.1990     1.10    0.73  0.3295     9.2400      20231214201314.72
   6   2023/12/23   11:44:42.500   19.3650   -99.1940     0.89    0.74  0.3340     9.1900      20231212171437.60
